id,segment,age,annual_inc,gender_cd,cntry_domi,job_desc,has_home_loan,has_cc,marital_sts
100000**,D,40,2479,F,W,Marketing,1,0,Single
100001**,B,65,13948,M,W,Business owner,0,1,Married
100002**,B,39,13752,F,X,Accountant,0,1,Married
100003**,C,27,11222,M,W,IT,0,1,Married
100004**,D,39,2181,F,W,Accountant,0,0,Div
100005**,B,52,13267,M,W,Doctor,0,1,Single
100006**,C,36,8815,M,Y,Accountant,1,0,Married
100007**,B,39,20853,M,X,Lawyer,0,1,Married
100008**,C,16,0,M,W,Student,0,0,Single
100009**,C,33,9527,F,W,Teacher,0,1,Div
100010**,C,37,11295,F,Y,Engineer,0,1,Div
100011**,B,54,16455,F,X,Accountant,0,1,Single
100012**,C,37,14542,M,W,Engineer,0,1,Single
100013**,A,55,16341,M,W,Doctor,0,1,Married
100014**,C,28,11816,M,Y,Engineer,0,1,Single
100015**,C,23,8555,F,Y,HR,0,1,Married
100016**,C,31,6690,F,Y,Business owner,0,1,Married
100017**,D,41,3444,F,W,HR,0,1,Married
100018**,C,24,9553,F,Y,IT,0,1,Single
100019**,C,36,10567,M,W,Doctor,0,1,Div
100020**,A,34,36621,F,W,IT,1,1,Div
100021**,E,54,0,F,W,Unemployed,0,0,Single
100022**,C,32,10137,F,Y,Doctor,0,1,Div
100023**,C,29,9182,M,Y,Accountant,0,0,Married
100024**,D,15,0,F,W,Student,0,0,Single
100025**,D,41,3687,M,Y,Business owner,0,1,Single
100026**,C,25,8027,M,W,Business owner,0,0,Married
100027**,C,24,15935,F,W,HR,0,1,Married
100028**,C,31,15657,M,W,Doctor,0,1,Div
100029**,B,49,18019,F,W,Accountant,1,0,Div
100030**,C,29,10760,M,W,Doctor,0,1,Married
100031**,C,24,11346,F,Y,Engineer,0,1,Married
100032**,D,7,0,F,Y,Student,0,0,Single
100033**,B,57,18580,M,Z,Engineer,0,0,Single
100034**,C,23,12627,M,W,HR,0,1,Married
100035**,E,10,0,F,W,Student,0,0,Single
100036**,C,29,12779,M,W,Business owner,0,1,Married
100037**,E,65,0,M,W,Unemployed,0,0,Single
100038**,C,22,10383,M,W,HR,0,1,Married
100039**,C,20,15828,M,Y,Business owner,0,1,Married
100040**,D,58,3407,F,W,Business owner,0,1,Married
100041**,D,46,3230,M,W,Marketing,1,1,Married
100042**,B,77,25023,F,Y,Retired,1,1,Single
100043**,D,14,0,M,W,Student,0,0,Single
100044**,C,33,11756,F,W,Engineer,0,1,Single
100045**,C,45,13057,M,W,Accountant,1,1,Married
100046**,D,3,0,M,W,Student,0,0,Single
100047**,D,34,3442,M,W,Teacher,0,1,Married
100048**,C,21,9345,F,W,Marketing,0,1,Married
100049**,E,59,0,F,W,Unemployed,0,0,Married
100050**,D,55,3737,M,W,Lawyer,0,1,Married
100051**,B,59,23943,F,Y,IT,1,1,Married
100052**,D,38,3929,F,W,Accountant,0,1,Single
100053**,C,21,7978,F,W,Teacher,0,1,Married
100054**,D,63,2927,M,W,Business owner,0,0,Married
100055**,C,31,7660,M,W,Accountant,0,1,Married
100056**,A,57,50122,M,Q,Doctor,1,1,Married
100057**,C,31,7824,M,Y,Lawyer,0,0,Married
100058**,C,16,0,F,W,Student,0,0,Single
100059**,C,40,8224,M,Y,Teacher,0,1,Married
100060**,C,33,7844,M,W,Accountant,0,1,Div
100061**,D,36,2673,M,Y,HR,0,0,Single
100062**,C,29,7445,F,W,HR,0,1,Single
100063**,B,51,18174,F,W,Business owner,1,1,Married
100064**,C,46,9378,M,Y,Business owner,0,1,Married
100065**,B,38,14561,M,Z,Business owner,0,1,Div
100066**,D,34,2621,M,Y,Doctor,0,0,Married
100067**,B,65,20227,F,W,Business owner,0,1,Div
100068**,C,29,9458,F,W,IT,0,1,Married
100069**,A,60,41284,F,Q,Business owner,0,1,Married
100070**,E,50,0,M,Y,Unemployed,0,0,Single
100071**,C,27,8751,F,W,HR,1,1,Married
100072**,C,34,7246,M,W,Accountant,0,1,Married
100073**,B,42,14119,M,Z,Accountant,1,1,Married
100074**,C,34,11546,F,W,Lawyer,0,1,Single
100075**,C,42,17236,M,W,Lawyer,0,1,Div
100076**,D,15,0,F,W,Student,0,0,Single
100077**,D,37,3899,M,W,Marketing,0,1,Married
100078**,B,58,16887,F,W,Lawyer,0,1,Div
100079**,E,49,0,F,Y,Home maker,0,0,Married
100080**,D,50,3608,M,W,IT,0,1,Single
100081**,C,43,6133,M,Y,IT,1,1,Married
100082**,C,38,7757,F,W,HR,0,1,Married
100083**,D,39,3581,F,W,IT,0,1,Married
100084**,C,27,6614,F,W,Teacher,0,1,Married
100085**,D,57,2609,F,W,IT,0,0,Married
100086**,D,8,0,F,Y,Student,0,0,Single
100087**,C,14,0,M,W,Student,0,0,Single
100088**,B,44,12657,F,X,Doctor,1,1,Married
100089**,B,47,17162,F,W,Business owner,0,1,Married
100090**,C,39,6845,M,W,Lawyer,0,1,Married
100091**,D,44,3623,M,W,HR,0,1,Married
100092**,D,27,2973,F,W,Business owner,0,0,Single
100093**,C,31,6435,F,W,Business owner,0,1,Single
100094**,C,33,10851,M,W,Accountant,1,1,Married
100095**,B,56,17974,M,Z,IT,1,1,Married
100096**,D,64,2622,M,W,Engineer,1,0,Div
100097**,D,90,3525,M,W,Retired,0,1,Single
100098**,D,48,4560,M,W,Engineer,0,1,Married
100099**,A,56,57216,F,W,Business owner,0,1,Married
100100**,D,7,0,M,Y,Student,0,0,Single
100101**,D,51,2621,F,W,HR,0,0,Married
100102**,D,45,2183,F,W,Marketing,1,0,Single
100103**,B,50,23309,M,W,Engineer,1,0,Married
100104**,C,30,5123,M,W,Business owner,0,1,Married
100105**,C,26,10176,M,Y,Engineer,1,1,Married
100106**,C,46,12754,M,W,Lawyer,0,1,Married
